Lead Number,prediction_score_1,prediction_score_0,prediction_label
614998,0.7216,0.2784,1
627485,0.7187,0.2813,1
602566,0.7187,0.2813,1
612971,0.7187,0.2813,1
602801,0.7187,0.2813,1
611225,0.7187,0.2813,1
629641,0.7187,0.2813,1
619196,0.7186,0.2814,1
607674,0.7186,0.2814,1
641414,0.7179,0.2821,1
641138,0.7179,0.2821,1
587135,0.7179,0.2821,1
590782,0.7179,0.2821,1
634690,0.7179,0.2821,1
608183,0.7176,0.2824,1
622505,0.7176,0.2824,1
619503,0.7176,0.2824,1
622460,0.7176,0.2824,1
597171,0.7176,0.2824,1
604908,0.7176,0.2824,1
593824,0.7176,0.2824,1
594884,0.7176,0.2824,1
603490,0.7176,0.2824,1
598962,0.7176,0.2824,1
625433,0.7176,0.2824,1
623198,0.7176,0.2824,1
623290,0.7176,0.2824,1
597897,0.7176,0.2824,1
616023,0.7176,0.2824,1
609137,0.7176,0.2824,1
600979,0.7176,0.2824,1
628208,0.7176,0.2824,1
660424,0.7174,0.2826,1
614458,0.7174,0.2826,1
645089,0.7174,0.2826,1
644665,0.7174,0.2826,1
610330,0.7173,0.2827,1
626161,0.7173,0.2827,1
619486,0.7173,0.2827,1
613774,0.7173,0.2827,1
631854,0.7173,0.2827,1
624439,0.7173,0.2827,1
599119,0.7173,0.2827,1
601378,0.7173,0.2827,1
608451,0.7171,0.2829,1
608791,0.7171,0.2829,1
632322,0.7171,0.2829,1
614343,0.7171,0.2829,1
596625,0.7171,0.2829,1
639967,0.717,0.283,1
635453,0.7168,0.2832,1
645009,0.7168,0.2832,1
606508,0.7168,0.2832,1
622859,0.7168,0.2832,1
588682,0.7168,0.2832,1
595141,0.7168,0.2832,1
656356,0.7168,0.2832,1
644137,0.7168,0.2832,1
594369,0.7167,0.2833,1
653552,0.7166,0.2834,1
589595,0.7166,0.2834,1
586799,0.7166,0.2834,1
584274,0.7166,0.2834,1
643101,0.7166,0.2834,1
648081,0.7166,0.2834,1
584341,0.7166,0.2834,1
626658,0.7166,0.2834,1
591313,0.7166,0.2834,1
658831,0.7166,0.2834,1
659853,0.7166,0.2834,1
650305,0.7166,0.2834,1
579697,0.7166,0.2834,1
593292,0.7166,0.2834,1
582381,0.7166,0.2834,1
648605,0.7166,0.2834,1
581759,0.7166,0.2834,1
656176,0.7166,0.2834,1
630427,0.7165,0.2835,1
632067,0.7164,0.2836,1
607109,0.7164,0.2836,1
605316,0.7164,0.2836,1
605318,0.7164,0.2836,1
605320,0.7164,0.2836,1
597829,0.7164,0.2836,1
613918,0.7164,0.2836,1
624434,0.7164,0.2836,1
605319,0.7164,0.2836,1
605275,0.7164,0.2836,1
605328,0.7164,0.2836,1
614036,0.7164,0.2836,1
605273,0.7164,0.2836,1
605271,0.7164,0.2836,1
605267,0.7164,0.2836,1
605278,0.7164,0.2836,1
605259,0.7164,0.2836,1
605230,0.7164,0.2836,1
605332,0.7164,0.2836,1
613488,0.7164,0.2836,1
605220,0.7164,0.2836,1
614107,0.7164,0.2836,1
605216,0.7164,0.2836,1
605210,0.7164,0.2836,1
614103,0.7164,0.2836,1
614100,0.7164,0.2836,1
614096,0.7164,0.2836,1
606316,0.7164,0.2836,1
614095,0.7164,0.2836,1
614080,0.7164,0.2836,1
615558,0.7164,0.2836,1
590527,0.7164,0.2836,1
614077,0.7164,0.2836,1
614070,0.7164,0.2836,1
614067,0.7164,0.2836,1
614042,0.7164,0.2836,1
605310,0.7164,0.2836,1
605303,0.7164,0.2836,1
633959,0.7164,0.2836,1
628308,0.7164,0.2836,1
633956,0.7164,0.2836,1
633941,0.7164,0.2836,1
633965,0.7164,0.2836,1
633122,0.7164,0.2836,1
633116,0.7164,0.2836,1
633922,0.7164,0.2836,1
634102,0.7164,0.2836,1
633914,0.7164,0.2836,1
634040,0.7164,0.2836,1
634027,0.7164,0.2836,1
634024,0.7164,0.2836,1
632807,0.7164,0.2836,1
633910,0.7164,0.2836,1
632816,0.7164,0.2836,1
633903,0.7164,0.2836,1
634015,0.7164,0.2836,1
634051,0.7164,0.2836,1
633926,0.7164,0.2836,1
634043,0.7164,0.2836,1
633962,0.7164,0.2836,1
592625,0.7162,0.2838,1
581506,0.7162,0.2838,1
644042,0.7162,0.2838,1
621856,0.7162,0.2838,1
621555,0.7162,0.2838,1
616325,0.7161,0.2839,1
592683,0.7161,0.2839,1
581705,0.7161,0.2839,1
647320,0.7161,0.2839,1
635362,0.716,0.284,1
580549,0.716,0.284,1
593436,0.716,0.284,1
591694,0.716,0.284,1
613659,0.7159,0.2841,1
615507,0.7159,0.2841,1
620705,0.7159,0.2841,1
607357,0.7159,0.2841,1
630918,0.7159,0.2841,1
613633,0.7159,0.2841,1
612223,0.7159,0.2841,1
614463,0.7159,0.2841,1
605130,0.7159,0.2841,1
602826,0.7159,0.2841,1
625008,0.7159,0.2841,1
612085,0.7159,0.2841,1
595602,0.7159,0.2841,1
596168,0.7158,0.2842,1
593309,0.7158,0.2842,1
601868,0.7157,0.2843,1
639288,0.7157,0.2843,1
606393,0.7157,0.2843,1
633548,0.7157,0.2843,1
585438,0.7157,0.2843,1
600391,0.7157,0.2843,1
612637,0.7157,0.2843,1
609334,0.7157,0.2843,1
594486,0.7157,0.2843,1
590817,0.7157,0.2843,1
624430,0.7157,0.2843,1
600406,0.7156,0.2844,1
606028,0.7156,0.2844,1
624817,0.7156,0.2844,1
623794,0.7156,0.2844,1
608721,0.7156,0.2844,1
612484,0.7155,0.2845,1
612639,0.7155,0.2845,1
614018,0.7155,0.2845,1
630841,0.7155,0.2845,1
612578,0.7155,0.2845,1
631405,0.7155,0.2845,1
628282,0.7155,0.2845,1
612679,0.7155,0.2845,1
620989,0.7155,0.2845,1
619649,0.7155,0.2845,1
613438,0.7155,0.2845,1
597723,0.7155,0.2845,1
607359,0.7155,0.2845,1
628444,0.7155,0.2845,1
615878,0.7155,0.2845,1
632303,0.7155,0.2845,1
604092,0.7155,0.2845,1
630462,0.7155,0.2845,1
602404,0.7155,0.2845,1
606387,0.7154,0.2846,1
605123,0.7154,0.2846,1
597234,0.7154,0.2846,1
625726,0.7154,0.2846,1
608489,0.7154,0.2846,1
626523,0.7154,0.2846,1
619240,0.7154,0.2846,1
629658,0.7154,0.2846,1
629483,0.7154,0.2846,1
625185,0.7154,0.2846,1
619228,0.7154,0.2846,1
602710,0.7154,0.2846,1
593945,0.7154,0.2846,1
588111,0.7154,0.2846,1
588094,0.7154,0.2846,1
627833,0.7154,0.2846,1
619170,0.7154,0.2846,1
614222,0.7154,0.2846,1
581456,0.7154,0.2846,1
621198,0.7154,0.2846,1
614498,0.7154,0.2846,1
613622,0.7153,0.2847,1
642384,0.7153,0.2847,1
634813,0.7152,0.2848,1
598165,0.7152,0.2848,1
599578,0.7152,0.2848,1
601100,0.7152,0.2848,1
607459,0.7152,0.2848,1
634878,0.7152,0.2848,1
600640,0.7152,0.2848,1
594521,0.7152,0.2848,1
610562,0.7152,0.2848,1
617035,0.7152,0.2848,1
610159,0.7152,0.2848,1
603831,0.7152,0.2848,1
618634,0.7152,0.2848,1
605299,0.7151,0.2849,1
630550,0.7151,0.2849,1
605262,0.7151,0.2849,1
595576,0.7151,0.2849,1
615216,0.7151,0.2849,1
623471,0.715,0.285,1
619793,0.715,0.285,1
607283,0.715,0.285,1
598742,0.715,0.285,1
613574,0.715,0.285,1
618866,0.715,0.285,1
608132,0.715,0.285,1
603586,0.7149,0.2851,1
627462,0.7149,0.2851,1
594108,0.7149,0.2851,1
610511,0.7149,0.2851,1
652787,0.7148,0.2852,1
645538,0.7148,0.2852,1
639824,0.7147,0.2853,1
590830,0.7147,0.2853,1
595075,0.7147,0.2853,1
583735,0.7147,0.2853,1
603581,0.7146,0.2854,1
659507,0.7146,0.2854,1
629940,0.7146,0.2854,1
580090,0.7146,0.2854,1
641288,0.7146,0.2854,1
644988,0.7146,0.2854,1
591722,0.7146,0.2854,1
609067,0.7146,0.2854,1
652060,0.7146,0.2854,1
588075,0.7145,0.2855,1
659158,0.7145,0.2855,1
591536,0.7145,0.2855,1
632926,0.7145,0.2855,1
579778,0.7145,0.2855,1
627593,0.7145,0.2855,1
608305,0.7145,0.2855,1
598818,0.7145,0.2855,1
644080,0.7144,0.2856,1
639246,0.7144,0.2856,1
617920,0.7144,0.2856,1
639602,0.7144,0.2856,1
623548,0.7143,0.2857,1
583233,0.7143,0.2857,1
604992,0.7143,0.2857,1
639977,0.7142,0.2858,1
613042,0.714,0.286,1
584160,0.714,0.286,1
580775,0.714,0.286,1
658793,0.714,0.286,1
644087,0.714,0.286,1
580887,0.714,0.286,1
582296,0.714,0.286,1
591460,0.7139,0.2861,1
588753,0.7139,0.2861,1
624135,0.7138,0.2862,1
619098,0.7138,0.2862,1
634068,0.7138,0.2862,1
606311,0.7138,0.2862,1
598455,0.7138,0.2862,1
602118,0.7138,0.2862,1
592414,0.7137,0.2863,1
632892,0.7136,0.2864,1
605228,0.7136,0.2864,1
624353,0.7136,0.2864,1
624363,0.7136,0.2864,1
624423,0.7136,0.2864,1
605291,0.7136,0.2864,1
643324,0.7135,0.2865,1
608125,0.7135,0.2865,1
579564,0.7135,0.2865,1
601880,0.7135,0.2865,1
592415,0.7135,0.2865,1
634647,0.7135,0.2865,1
640205,0.7135,0.2865,1
639620,0.7135,0.2865,1
581045,0.7135,0.2865,1
634018,0.7134,0.2866,1
581650,0.7134,0.2866,1
650851,0.7134,0.2866,1
615769,0.7134,0.2866,1
617782,0.7134,0.2866,1
649235,0.7134,0.2866,1
610041,0.7134,0.2866,1
613624,0.7134,0.2866,1
609191,0.7134,0.2866,1
601334,0.7133,0.2867,1
623340,0.7133,0.2867,1
660458,0.7133,0.2867,1
642204,0.7133,0.2867,1
654471,0.7133,0.2867,1
635587,0.7133,0.2867,1
584538,0.7133,0.2867,1
646337,0.7132,0.2868,1
598132,0.713,0.287,1
606573,0.713,0.287,1
646001,0.713,0.287,1
588037,0.713,0.287,1
653820,0.7129,0.2871,1
609185,0.7129,0.2871,1
655337,0.7129,0.2871,1
585646,0.7129,0.2871,1
637759,0.7128,0.2872,1
588850,0.7128,0.2872,1
653687,0.7128,0.2872,1
645889,0.7128,0.2872,1
635638,0.7128,0.2872,1
659963,0.7127,0.2873,1
614087,0.7126,0.2874,1
621352,0.7126,0.2874,1
633945,0.7126,0.2874,1
629768,0.7126,0.2874,1
637023,0.7126,0.2874,1
581888,0.7126,0.2874,1
606303,0.7126,0.2874,1
606309,0.7126,0.2874,1
646544,0.7125,0.2875,1
592425,0.7125,0.2875,1
610199,0.7125,0.2875,1
601552,0.7125,0.2875,1
595589,0.7125,0.2875,1
581130,0.7124,0.2876,1
624227,0.7124,0.2876,1
634254,0.7124,0.2876,1
587028,0.7124,0.2876,1
621532,0.7124,0.2876,1
617842,0.7124,0.2876,1
621583,0.7124,0.2876,1
626970,0.7124,0.2876,1
625303,0.7124,0.2876,1
646366,0.7124,0.2876,1
625120,0.7124,0.2876,1
588589,0.7124,0.2876,1
602634,0.7124,0.2876,1
619556,0.7124,0.2876,1
611072,0.7124,0.2876,1
582304,0.7124,0.2876,1
617711,0.7124,0.2876,1
606383,0.7123,0.2877,1
600775,0.7123,0.2877,1
649980,0.7123,0.2877,1
586293,0.7123,0.2877,1
646076,0.7123,0.2877,1
652801,0.7122,0.2878,1
595178,0.7122,0.2878,1
624544,0.7121,0.2879,1
633904,0.7121,0.2879,1
657590,0.712,0.288,1
641909,0.712,0.288,1
589305,0.712,0.288,1
627539,0.712,0.288,1
643712,0.7119,0.2881,1
619391,0.7119,0.2881,1
650153,0.7119,0.2881,1
635351,0.7119,0.2881,1
634396,0.7119,0.2881,1
634817,0.7118,0.2882,1
634244,0.7118,0.2882,1
642987,0.7118,0.2882,1
629350,0.7118,0.2882,1
635041,0.7118,0.2882,1
588209,0.7118,0.2882,1
651548,0.7118,0.2882,1
653691,0.7118,0.2882,1
634917,0.7118,0.2882,1
647449,0.7118,0.2882,1
648361,0.7118,0.2882,1
579884,0.7118,0.2882,1
636855,0.7118,0.2882,1
659106,0.7118,0.2882,1
620137,0.7118,0.2882,1
644758,0.7118,0.2882,1
581207,0.7117,0.2883,1
645385,0.7117,0.2883,1
579832,0.7117,0.2883,1
637818,0.7117,0.2883,1
591098,0.7117,0.2883,1
586394,0.7116,0.2884,1
641507,0.7116,0.2884,1
637640,0.7116,0.2884,1
648639,0.7116,0.2884,1
591837,0.7115,0.2885,1
646330,0.7115,0.2885,1
599679,0.7114,0.2886,1
638505,0.7114,0.2886,1
631496,0.7114,0.2886,1
644885,0.7114,0.2886,1
590359,0.7114,0.2886,1
657823,0.7113,0.2887,1
646863,0.7113,0.2887,1
636261,0.7112,0.2888,1
589789,0.7112,0.2888,1
585722,0.7111,0.2889,1
629355,0.7111,0.2889,1
585477,0.7111,0.2889,1
639054,0.7111,0.2889,1
631563,0.7111,0.2889,1
645392,0.7111,0.2889,1
636092,0.7111,0.2889,1
636110,0.7111,0.2889,1
644750,0.7111,0.2889,1
607531,0.7111,0.2889,1
636059,0.7111,0.2889,1
642205,0.7111,0.2889,1
654492,0.711,0.289,1
645825,0.711,0.289,1
581254,0.7109,0.2891,1
582709,0.7109,0.2891,1
649003,0.7109,0.2891,1
581136,0.7109,0.2891,1
650291,0.7109,0.2891,1
609425,0.7109,0.2891,1
609397,0.7108,0.2892,1
634237,0.7108,0.2892,1
619870,0.7108,0.2892,1
618841,0.7108,0.2892,1
631406,0.7108,0.2892,1
607221,0.7107,0.2893,1
594936,0.7107,0.2893,1
627119,0.7107,0.2893,1
631591,0.7107,0.2893,1
635332,0.7106,0.2894,1
634902,0.7105,0.2895,1
620179,0.7104,0.2896,1
603289,0.7104,0.2896,1
633476,0.7104,0.2896,1
628499,0.7104,0.2896,1
584301,0.7104,0.2896,1
610273,0.7104,0.2896,1
617188,0.7104,0.2896,1
614573,0.7104,0.2896,1
607104,0.7104,0.2896,1
581789,0.7103,0.2897,1
581724,0.7103,0.2897,1
643916,0.7103,0.2897,1
592334,0.7103,0.2897,1
608143,0.7102,0.2898,1
630287,0.7101,0.2899,1
594089,0.71,0.29,1
641481,0.71,0.29,1
641478,0.71,0.29,1
617405,0.71,0.29,1
648139,0.71,0.29,1
636884,0.71,0.29,1
645243,0.71,0.29,1
643801,0.71,0.29,1
635783,0.71,0.29,1
604887,0.7099,0.2901,1
601484,0.7099,0.2901,1
599610,0.7099,0.2901,1
642056,0.7099,0.2901,1
599008,0.7099,0.2901,1
614849,0.7099,0.2901,1
622493,0.7099,0.2901,1
606679,0.7099,0.2901,1
627248,0.7099,0.2901,1
631313,0.7099,0.2901,1
596741,0.7099,0.2901,1
627327,0.7099,0.2901,1
602459,0.7099,0.2901,1
592130,0.7099,0.2901,1
596778,0.7099,0.2901,1
628675,0.7099,0.2901,1
598899,0.7099,0.2901,1
627497,0.7099,0.2901,1
631967,0.7099,0.2901,1
586828,0.7099,0.2901,1
598199,0.7099,0.2901,1
595945,0.7099,0.2901,1
600705,0.7099,0.2901,1
601835,0.7099,0.2901,1
627560,0.7099,0.2901,1
595620,0.7099,0.2901,1
623332,0.7099,0.2901,1
633915,0.7099,0.2901,1
621116,0.7099,0.2901,1
620454,0.7099,0.2901,1
603672,0.7099,0.2901,1
614906,0.7099,0.2901,1
628020,0.7099,0.2901,1
626526,0.7099,0.2901,1
621477,0.7099,0.2901,1
607148,0.7098,0.2902,1
659141,0.7098,0.2902,1
639387,0.7098,0.2902,1
602757,0.7098,0.2902,1
599423,0.7098,0.2902,1
599550,0.7098,0.2902,1
606663,0.7098,0.2902,1
601026,0.7098,0.2902,1
621121,0.7098,0.2902,1
583285,0.7097,0.2903,1
639099,0.7097,0.2903,1
634592,0.7097,0.2903,1
643977,0.7097,0.2903,1
646320,0.7096,0.2904,1
584727,0.7096,0.2904,1
635910,0.7096,0.2904,1
580595,0.7096,0.2904,1
617811,0.7095,0.2905,1
644953,0.7095,0.2905,1
603432,0.7095,0.2905,1
596724,0.7095,0.2905,1
642640,0.7095,0.2905,1
629491,0.7095,0.2905,1
631282,0.7093,0.2907,1
589858,0.7093,0.2907,1
608481,0.7093,0.2907,1
631670,0.7092,0.2908,1
657686,0.7092,0.2908,1
592589,0.7092,0.2908,1
647201,0.7092,0.2908,1
629592,0.7092,0.2908,1
637048,0.7091,0.2909,1
643289,0.7091,0.2909,1
589334,0.7091,0.2909,1
601618,0.7091,0.2909,1
618747,0.7091,0.2909,1
632274,0.7091,0.2909,1
580143,0.7091,0.2909,1
626274,0.7091,0.2909,1
593860,0.7091,0.2909,1
582776,0.709,0.291,1
591106,0.709,0.291,1
608330,0.709,0.291,1
639415,0.7089,0.2911,1
640446,0.7089,0.2911,1
655457,0.7089,0.2911,1
658398,0.7088,0.2912,1
606592,0.7088,0.2912,1
598950,0.7088,0.2912,1
592198,0.7088,0.2912,1
653415,0.7088,0.2912,1
582756,0.7088,0.2912,1
595852,0.7088,0.2912,1
646086,0.7088,0.2912,1
615534,0.7088,0.2912,1
587089,0.7088,0.2912,1
605250,0.7088,0.2912,1
642088,0.7088,0.2912,1
580776,0.7088,0.2912,1
608711,0.7087,0.2913,1
640295,0.7087,0.2913,1
594057,0.7087,0.2913,1
659631,0.7087,0.2913,1
658258,0.7087,0.2913,1
588019,0.7086,0.2914,1
594744,0.7086,0.2914,1
633126,0.7086,0.2914,1
605341,0.7086,0.2914,1
614091,0.7086,0.2914,1
651935,0.7086,0.2914,1
628508,0.7086,0.2914,1
639321,0.7086,0.2914,1
656668,0.7085,0.2915,1
646662,0.7085,0.2915,1
657038,0.7084,0.2916,1
616684,0.7084,0.2916,1
599075,0.7084,0.2916,1
591602,0.7084,0.2916,1
618310,0.7084,0.2916,1
617929,0.7084,0.2916,1
633407,0.7084,0.2916,1
629447,0.7084,0.2916,1
629524,0.7084,0.2916,1
591215,0.7084,0.2916,1
636823,0.7084,0.2916,1
634047,0.7083,0.2917,1
645790,0.7083,0.2917,1
630200,0.7083,0.2917,1
612067,0.7083,0.2917,1
635486,0.7083,0.2917,1
619902,0.7083,0.2917,1
640469,0.7082,0.2918,1
639298,0.7082,0.2918,1
581515,0.7082,0.2918,1
627106,0.7082,0.2918,1
617354,0.7082,0.2918,1
639253,0.7082,0.2918,1
641693,0.7082,0.2918,1
633070,0.7082,0.2918,1
659191,0.7082,0.2918,1
